Date;IT Department;Cost Element;Country;Actual
01/06/2020;Administration;Employee Performance;USA;383
01/06/2020;Administration;External Labor;United Kingdom;1.486
01/06/2020;Administration;External Labor;USA;23.936
01/06/2020;Administration;Internal Labor;Germany;938
01/06/2020;Administration;Internal Labor;Italy;4.734
01/06/2020;Administration;Internal Labor;United Kingdom;22.775
01/06/2020;Administration;Internal Labor;USA;95.333
01/06/2020;Administration;Moving;USA;4.081
01/06/2020;Administration;Other;USA;182
01/06/2020;Administration;Outbound Allocations;United Kingdom;732
01/06/2020;Administration;Severance;Italy;452
01/06/2020;Administration;Software Maintenance;USA;-269
01/06/2020;Administration;Telecomm;Italy;-1
01/06/2020;Administration;Telecomm;USA;1.685
01/06/2020;Administration;Training;USA;1.069
01/06/2020;Administration;Travel;Italy;203
01/06/2020;Administration;Travel;USA;17.817
01/06/2020;Architecture;Depreciation;USA;693
01/06/2020;Architecture;Internal Labor;USA;40.012
01/06/2020;Architecture;Other;USA;-375
01/06/2020;Architecture;Software Maintenance;USA;-539
01/06/2020;Architecture;Supplies;USA;90
01/06/2020;Architecture;Taxes;USA;44
01/06/2020;Architecture;Telecomm;USA;771
01/06/2020;Architecture;Travel;USA;4.446
01/06/2020;Business Intelligence;CAPEX;USA;4.195
01/06/2020;Business Intelligence;Employee Performance;USA;16
01/06/2020;Business Intelligence;External Labor;USA;1.089
01/06/2020;Business Intelligence;Hardware;USA;1.192
01/06/2020;Business Intelligence;Internal Labor;USA;62.593
01/06/2020;Business Intelligence;Software Maintenance;USA;-3.772
01/06/2020;Business Intelligence;Telecomm;USA;407
01/06/2020;Business Intelligence;Training;USA;1.013
01/06/2020;Business Intelligence;Travel;USA;1.260
01/06/2020;Core;Employee Performance;USA;784
01/06/2020;Core;External Labor;USA;1.766
01/06/2020;Core;Internal Labor;USA;19.660
01/06/2020;Core;Software;USA;73
01/06/2020;Core;Telecomm;USA;458
01/06/2020;Core;Travel;USA;634
01/06/2020;Core Infrastructure;Amortization;Mexico;1.383
01/06/2020;Core Infrastructure;Depreciation;Brazil;12.884
01/06/2020;Core Infrastructure;Depreciation;Canada;4.900
01/06/2020;Core Infrastructure;Depreciation;Mexico;4.369
01/06/2020;Core Infrastructure;Depreciation;New Zealand;7.990
01/06/2020;Core Infrastructure;Depreciation;USA;756
01/06/2020;Core Infrastructure;Employee Performance;USA;353
01/06/2020;Core Infrastructure;External Labor;Brazil;5.579
01/06/2020;Core Infrastructure;External Labor;Canada;14.567
01/06/2020;Core Infrastructure;External Labor;Mexico;9.700
01/06/2020;Core Infrastructure;External Labor;New Zealand;122.078
01/06/2020;Core Infrastructure;External Labor;USA;172.354
01/06/2020;Core Infrastructure;Hardware;Brazil;1.245
01/06/2020;Core Infrastructure;Hardware;Canada;89
01/06/2020;Core Infrastructure;Hardware;Mexico;18.285
01/06/2020;Core Infrastructure;Hardware;New Zealand;48.689
01/06/2020;Core Infrastructure;Hardware;USA;27.519
01/06/2020;Core Infrastructure;Hardware Maintenance;Brazil;2.314
01/06/2020;Core Infrastructure;Hardware Maintenance;Mexico;-351
01/06/2020;Core Infrastructure;Hardware Maintenance;United Kingdom;-13.773
01/06/2020;Core Infrastructure;Internal Labor;Brazil;13.667
01/06/2020;Core Infrastructure;Internal Labor;Canada;1.127
01/06/2020;Core Infrastructure;Internal Labor;Mexico;2.974
01/06/2020;Core Infrastructure;Internal Labor;New Zealand;39.187
01/06/2020;Core Infrastructure;Internal Labor;Switzerland;7.302
01/06/2020;Core Infrastructure;Internal Labor;USA;44.923
01/06/2020;Core Infrastructure;Moving;USA;978
01/06/2020;Core Infrastructure;Other;Brazil;10.752
01/06/2020;Core Infrastructure;Other;Mexico;3.301
01/06/2020;Core Infrastructure;Other;New Zealand;-28.990
01/06/2020;Core Infrastructure;Other;USA;471
01/06/2020;Core Infrastructure;Severance;Brazil;706
01/06/2020;Core Infrastructure;Severance;New Zealand;1.618
01/06/2020;Core Infrastructure;Software;USA;5
01/06/2020;Core Infrastructure;Supplies;Brazil;52
01/06/2020;Core Infrastructure;Supplies;Canada;1.101
01/06/2020;Core Infrastructure;Supplies;Mexico;34
01/06/2020;Core Infrastructure;Supplies;New Zealand;1.406
01/06/2020;Core Infrastructure;Supplies;USA;278
01/06/2020;Core Infrastructure;Taxes;Brazil;2
01/06/2020;Core Infrastructure;Taxes;USA;9
01/06/2020;Core Infrastructure;Telecomm;Brazil;2.922
01/06/2020;Core Infrastructure;Telecomm;Canada;1.786
01/06/2020;Core Infrastructure;Telecomm;Mexico;3.645
01/06/2020;Core Infrastructure;Telecomm;New Zealand;59.079
01/06/2020;Core Infrastructure;Telecomm;Switzerland;16
01/06/2020;Core Infrastructure;Telecomm;USA;1.970
01/06/2020;Core Infrastructure;Training;Mexico;421
01/06/2020;Core Infrastructure;Travel;Brazil;947
01/06/2020;Core Infrastructure;Travel;New Zealand;10.665
01/06/2020;Core Infrastructure;Travel;Switzerland;271
01/06/2020;Core Infrastructure;Travel;USA;6.692
01/06/2020;Core Infrastructure;Vehicles;Brazil;31
01/06/2020;Core Infrastructure;Vehicles;Mexico;21
01/06/2020;Core Infrastructure;Vehicles;New Zealand;30
01/06/2020;Data Centers;Amortization;USA;1.725
01/06/2020;Data Centers;Depreciation;Ireland;638
01/06/2020;Data Centers;Depreciation;United Kingdom;19.369
01/06/2020;Data Centers;Depreciation;USA;249.317
01/06/2020;Data Centers;Employee Performance;USA;719
01/06/2020;Data Centers;External Labor;Germany;3.283
01/06/2020;Data Centers;External Labor;United Kingdom;91.746
01/06/2020;Data Centers;External Labor;USA;409.986
01/06/2020;Data Centers;Hardware;United Kingdom;786
01/06/2020;Data Centers;Hardware;USA;-108.844
01/06/2020;Data Centers;Hardware Maintenance;United Kingdom;-34.519
01/06/2020;Data Centers;Hardware Maintenance;USA;70.315
01/06/2020;Data Centers;Internal Labor;Austria;3.855
01/06/2020;Data Centers;Internal Labor;Germany;11.363
01/06/2020;Data Centers;Internal Labor;Netherlands;3.715
01/06/2020;Data Centers;Internal Labor;Spain;3.385
01/06/2020;Data Centers;Internal Labor;United Kingdom;10.711
01/06/2020;Data Centers;Internal Labor;USA;119.088
01/06/2020;Data Centers;Other;Austria;34
01/06/2020;Data Centers;Other;Netherlands;5
01/06/2020;Data Centers;Other;Spain;109
01/06/2020;Data Centers;Other;United Kingdom;-16
01/06/2020;Data Centers;Other;USA;131
